Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
EFH;3;ÜSB;EFH3ÜSB;0.0022563;0.00014909;0.00035376;;;;;;;;
EFH;3;SWX;EFH3SWX;0;-1.36E-04;0.00021371;;;;;;;;
EFH;3;SSX;EFH3SSX;0;-0.000076523;0.00013785;;;;;;;;
EFH;3;WWH;EFH3WWH;0.0050405;-2.91E-06;0.000069069;;;;;;;;
EFH;3;WWB;EFH3WWB;0.0049662;0.000058271;0.000019392;;;;;;;;
EFH;3;WSH;EFH3WSH;0.005684;0.00010129;0.00073589;;;;;;;;
EFH;3;WSB;EFH3WSB;0.0042527;0.00020358;0.00039197;;;;;;;;
;;;;;;;;;;;;;;
EFH;4;ÜWH;EFH4ÜWH;0.0018691;-0.000059466;-0.00013251;;;;;;;;
EFH;4;ÜWB;EFH4ÜWB;0.0022561;1.16E-06;-0.00006819;;;;;;;;
EFH;4;ÜSH;EFH4ÜSH;0.0025473;0.000081989;0.00030718;;;;;;;;
EFH;4;ÜSB;EFH4ÜSB;0.0025461;0.00015608;0.00035998;;;;;;;;
EFH;4;SWX;EFH4SWX;0;-0.00013068;-0.00021027;;;;;;;;
EFH;4;SSX;EFH4SSX;0;-0.000071014;0.00014301;;;;;;;;
EFH;4;WWH;EFH4WWH;0.0051858;3.08E-06;0.000073893;;;;;;;;
EFH;4;WWB;EFH4WWB;0.0052036;0.000064668;0.000023972;;;;;;;;
EFH;4;WSH;EFH4WSH;0.0052536;0.00010797;0.00074399;;;;;;;;
EFH;4;WSB;EFH4WSB;0.0046986;0.00021093;0.00039838;;;;;;;;
;;;;;;;;;;;;;;
EFH;5;ÜWH;EFH5ÜWH;0.0016855;-0.000061968;-0.0001258;;;;;;;;
EFH;5;ÜWB;EFH5ÜWB;0.0026847;-0.000001522;-0.000060922;;;;;;;;
EFH;5;ÜSH;EFH5ÜSH;0.001853;0.000079073;0.00031768;;;;;;;;
EFH;5;ÜSB;EFH5ÜSB;0.002747;0.00015295;0.00037093;;;;;;;;
EFH;5;SWX;EFH5SWX;0;-0.00013297;-0.00020423;;;;;;;;
EFH;5;SSX;EFH5SSX;0;-0.000073482;0.0001521;;;;;;;;
EFH;5;WWH;EFH5WWH;0.0052114;3.97E-07;0.000082383;;;;;;;;
EFH;5;WWB;EFH5WWB;5.31E-03;0.000061802;0.000032033;;;;;;;;
EFH;5;WSH;EFH5WSH;0.0051848;0.00010498;0.00075824;;;;;;;;
EFH;5;WSB;EFH5WSB;0.0046805;0.00020764;0.00040966;;;;;;;;
;;;;;;;;;;;;;;
EFH;6;ÜWH;EFH6ÜWH;0.0012318;-0.000085809;-0.00015249;;;;;;;;
EFH;6;ÜWB;EFH6ÜWB;0.001747;-0.000027055;-0.000089812;;;;;;;;
EFH;6;ÜSH;EFH6ÜSH;0.0015155;0.000051282;0.00027595;;;;;;;;
EFH;6;ÜSB;EFH6ÜSB;0.0019801;0.00012309;0.0003274;;;;;;;;
EFH;6;SWX;EFH6SWX;0;-0.00015482;-0.00022826;;;;;;;;
EFH;6;SSX;EFH6SSX;0;-0.000097;0.00011599;;;;;;;;
EFH;6;WWH;EFH6WWH;0.0044781;-0.00002519;0.000048636;;;;;;;;
EFH;6;WWB;EFH6WWB;0.0044965;0.000034496;-7.69E-09;;;;;;;;
EFH;6;WSH;EFH6WSH;0.0046404;0.000076462;0.00070159;;;;;;;;
EFH;6;WSB;EFH6WSB;4.04E-03;0.00017625;0.00036482;;;;;;;;
;;;;;;;;;;;;;;
EFH;7;ÜWH;EFH7ÜWH;0.0015685;-6.72E-05;-0.000134;;;;;;;;
EFH;7;ÜWB;EFH7ÜWB;0.0022998;-7.14E-06;-6.98E-05;;;;;;;;
EFH;7;ÜSH;EFH7ÜSH;0.0017737;7.30E-05;3.05E-04;;;;;;;;
EFH;7;ÜSB;EFH7ÜSB;0.0024541;1.46E-04;3.58E-04;;;;;;;;
EFH;7;SWX;EFH7SWX;0;-1.38E-04;-0.00021162;;;;;;;;
EFH;7;SSX;EFH7SSX;0;-7.87E-05;0.000141;;;;;;;;
EFH;7;WWH;EFH7WWH;0.005474;-5.23E-06;7.20E-05;;;;;;;;
