;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9
2021-04-17T21:00:00;6629.85047945808;6121.015932193566;77379.75572922993;31921.502308501862;6121.015932193566;12242.031864387132;79803.75577125465;12242.031864387132;93268.84882228993
2021-04-17T22:00:00;2711.917712372046;4951.059379891614;56723.14004617804;13057.381578087627;4951.059379891614;9902.118759783229;32643.453945219073;9902.118759783229;107953.49830125342
2021-04-17T23:00:00;11882.73201318256;3449.2052430827857;66335.98784184341;57213.15413754565;3449.2052430827857;6898.4104861655715;143032.8853438641;6898.4104861655715;59802.873071270675
2021-04-18T00:00:00;5456.7631395551225;2486.2182186114032;51814.58837566809;26273.304005265403;2486.2182186114032;4972.4364372228065;65683.26001316351;4972.4364372228065;56044.786345882916
2021-04-18T01:00:00;5921.267254032481;2130.1943323460478;63799.029603742274;28509.80529719343;2130.1943323460478;4260.3886646920955;71274.51324298358;4260.3886646920955;53211.02000330265
2021-04-18T02:00:00;9718.303612158054;2076.882272256185;67001.62289957082;46791.832206686915;2076.882272256185;4153.76454451237;116979.58051671728;4153.76454451237;56627.66972035934
2021-04-18T03:00:00;7315.201490393248;2947.9509965570874;76381.85010551073;35221.34050930082;2947.9509965570874;5895.901993114175;88053.35127325205;5895.901993114175;68325.66247478846
2021-04-18T04:00:00;8107.938303384131;3959.9649097650963;97143.92532728339;39038.22146073841;3959.9649097650963;7919.929819530193;97595.55365184597;7919.929819530193;77002.92629482411
2021-04-18T05:00:00;10333.001609245712;5882.173565623223;105517.02122045617;49751.489229701576;5882.173565623223;11764.347131246446;124378.72307425394;11764.347131246446;77714.11733034879
2021-04-18T06:00:00;3720.251845105696;7792.48425098919;192551.70797314396;17912.32369865706;7792.48425098919;15584.96850197838;44780.80924664264;15584.96850197838;101817.62794155891
2021-04-18T07:00:00;11821.017968702254;6675.905481725096;154988.65976391287;56916.01244189973;6675.905481725096;13351.810963450193;142290.03110474933;13351.810963450193;149298.7943957632
2021-04-18T08:00:00;10602.169297743949;6133.403788707645;126729.98786677311;51047.481803952345;6133.403788707645;12266.80757741529;127618.70450988083;12266.80757741529;111092.43886876218
2021-04-18T09:00:00;7082.738486690226;5649.247912526738;109760.45733742899;34102.07419517516;5649.247912526738;11298.495825053476;85255.18548793791;11298.495825053476;87362.85344117843
2021-04-18T10:00:00;8831.062783142708;5317.706388620249;103363.6986228662;42519.93191883527;5317.706388620249;10635.412777240497;106299.82979708817;10635.412777240497;80947.47038876513
2021-04-18T11:00:00;9164.358196800398;5026.892532936913;96119.93826032769;44124.68761422414;5026.892532936913;10053.785065873826;110311.71903556032;10053.785065873826;76280.73745978101
2021-04-18T12:00:00;10638.030196681797;5342.646365228811;121740.68462695603;51220.14539143088;5342.646365228811;10685.292730457622;128050.36347857717;10685.292730457622;63383.98455784378
2021-04-18T13:00:00;9964.267189578854;4613.438058334411;96798.38236641767;47976.10128315743;4613.438058334411;9226.876116668822;119940.25320789356;9226.876116668822;83902.21252604807
2021-04-18T14:00:00;9471.49624887989;4647.301512812093;92622.36926619912;45603.50045756983;4647.301512812093;9294.603025624187;114008.75114392457;9294.603025624187;70715.85090345902
2021-04-18T15:00:00;10892.431632676215;4221.949067717432;64810.37485505655;52445.041194366946;4221.949067717432;8443.898135434863;131112.60298591736;8443.898135434863;61617.004768550505
2021-04-18T16:00:00;13128.886047612174;4204.102111979194;66432.74119570652;63213.15504405861;4204.102111979194;8408.204223958388;158032.8876101465;8408.204223958388;55285.93817911175
2021-04-18T17:00:00;6478.58781281958;4978.385422468885;76811.67183731929;31193.200580242414;4978.385422468885;9956.77084493777;77983.00145060605;9956.77084493777;76870.95270060304
2021-04-18T18:00:00;6420.788481590335;5317.24877437055;74228.52750792075;30914.907503953462;5317.24877437055;10634.4975487411;77287.26875988365;10634.4975487411;73424.97551816386
2021-04-18T19:00:00;6705.5662084497535;5738.940305467625;71363.04929586363;32286.05952216548;5738.940305467625;11477.88061093525;80715.14880541369;11477.88061093525;79943.0046994158
2021-04-18T20:00:00;9818.714129184038;5969.349080190769;67372.44949171937;47275.290251626844;5969.349080190769;11938.698160381538;118188.22562906709;11938.698160381538;85192.62100287635
2021-04-18T21:00:00;10117.8362156186;5880.114301499581;65425.609882939396;48715.50770483028;5880.114301499581;11760.228602999163;121788.76926207569;11760.228602999163;77369.51961210486
2021-04-18T22:00:00;3813.912075272793;4807.237693081684;59648.300134806595;18363.28036242456;4807.237693081684;9614.475386163367;45908.2009060614;9614.475386163367;76727.98130686354
2021-04-18T23:00:00;8208.348820410118;3365.2951922820275;49446.35491217383;39521.67950567834;3365.2951922820275;6730.590384564055;98804.19876419584;6730.590384564055;58420.31104186227
2021-04-19T00:00:00;12254.734763402046;2232.8165886917923;50018.02007215192;59004.2784904543;2232.8165886917923;4465.633177383585;147510.69622613574;4465.633177383585;38940.228546528335
2021-04-19T01:00:00;11947.534299355817;1922.6917786511906;61056.146280084926;57525.16514504652;1922.6917786511906;3845.383557302381;143812.91286261633;3845.383557302381;40884.6679640432
2021-04-19T02:00:00;10564.457539557636;2402.2366238065656;63932.50471529082;50865.90667194416;2402.2366238065656;4804.473247613131;127164.7666798604;4804.473247613131;52667.90224725512
2021-04-19T03:00:00;10702.090543947306;2636.0608853451145;72827.4618930704;51528.58410048704;2636.0608853451145;5272.121770690229;128821.46025121762;5272.121770690229;63926.4465289154
2021-04-19T04:00:00;10873.45712784425;3555.564538395391;92917.65729415143;52353.68246739825;3555.564538395391;7111.129076790782;130884.20616849561;7111.129076790782;77897.60382513347
2021-04-19T05:00:00;9955.453984186337;5281.14656674961;101679.67353585006;47933.667331267534;5281.14656674961;10562.29313349922;119834.16832816885;10562.29313349922;79039.57618145175
2021-04-19T06:00:00;8114.949886269535;5398.468915521586;126519.4860169139;39071.98093389034;5398.468915521586;10796.937831043171;97679.95233472585;10796.937831043171;93065.60302031577
2021-04-19T07:00:00;7187.501340349582;5940.3668970872395;146758.73640693413;34606.48793501651;5940.3668970872395;11880.733794174479;86516.21983754124;11880.733794174479;138188.94315375653
2021-04-19T08:00:00;8857.088635429534;5476.000118031737;121024.59399223485;42645.24157799406;5476.000118031737;10952.000236063473;106613.10394498511;10952.000236063473;87503.20313458533
2021-04-19T09:00:00;11397.45206285722;5010.812902970833;105402.01974611651;54876.621043386614;5010.812902970833;10021.625805941667;137191.55260846653;10021.625805941667;73854.40440141204
2021-04-19T10:00:00;11259.369277407453;4953.587491594294;99266.59412032015;54211.77800233218;4953.587491594294;9907.174983188588;135529.44500583046;9907.174983188588;55411.37937955126
2021-04-19T11:00:00;9710.773087493584;4728.788026115127;101296.9647804655;46755.57412496909;4728.788026115127;9457.576052230253;116888.93531242275;9457.576052230253;71896.24759823567
2021-04-19T12:00:00;8660.984093227256;4723.660301081388;111098.33743152428;41701.034522946036;4723.660301081388;9447.320602162776;104252.58630736511;9447.320602162776;63830.42482928504
2021-04-19T13:00:00;7454.671290047181;4152.841950325437;91040.37013615988;35892.86176689383;4152.841950325437;8305.683900650874;89732.15441723459;8305.683900650874;55335.93375841312
2021-04-19T14:00:00;8682.573584111911;4159.815656371326;86935.31517050887;41804.983923501786;4159.815656371326;8319.631312742653;104512.45980875449;8319.631312742653;70719.9817777637
2021-04-19T15:00:00;6128.716724881314;3862.612713415748;64778.49249035138;29508.636082761885;3862.612713415748;7725.225426831496;73771.5902069047;7725.225426831496;68511.48268626533
2021-04-19T16:00:00;7947.631331913461;3891.738191607392;65020.20328322581;38266.37307958333;3891.738191607392;7783.476383214784;95665.93269895834;7783.476383214784;57235.7916725282
2021-04-19T17:00:00;7097.545128330187;4044.7495066141955;76743.17673763643;34173.365432700906;4044.7495066141955;8089.499013228391;85433.41358175223;8089.499013228391;75514.20806645125
2021-04-19T18:00:00;7002.191543589629;4318.77513241727;60524.38253576114;33714.25558024636;4318.77513241727;8637.55026483454;84285.6389506159;8637.55026483454;77750.14192927258
2021-04-19T19:00:00;8735.647749203354;5169.157052012728;69129.2867620914;42060.52619986799;5169.157052012728;10338.314104025456;105151.31549966999;10338.314104025456;81981.95540583936
2021-04-19T20:00:00;10534.771989591232;5336.320888112654;65116.88760037561;50722.97624618002;5336.320888112654;10672.641776225308;126807.44061545002;10672.641776225308;82095.12383754659
2021-04-19T21:00:00;9472.389125642192;5213.870814306941;62764.235883064335;45607.799493832776;5213.870814306941;10427.741628613881;114019.49873458192;10427.741628613881;81584.15122165643
2021-04-19T22:00:00;8248.085080058238;4273.240934117655;56890.663616215315;39713.002237317436;4273.240934117655;8546.48186823531;99282.50559329361;8546.48186823531;73778.9587802739
2021-04-19T23:00:00;9339.703712913586;3012.4359028216377;48144.76142737495;44968.94380291725;3012.4359028216377;6024.871805643275;112422.35950729313;6024.871805643275;57071.18304459043
2021-04-20T00:00:00;10663.747272792047;1813.2240649931048;39530.85347471068;51343.96835048022;1813.2240649931048;3626.4481299862096;128359.92087620056;3626.4481299862096;35947.11312447179
2021-04-20T01:00:00;9328.665277420687;1538.3620577102447;47875.13036126878;44915.79578017366;1538.3620577102447;3076.7241154204894;112289.48945043418;3076.7241154204894;36722.99511358135
2021-04-20T02:00:00;7632.160029476499;1564.1511685630558;50331.56392119635;36747.437178960914;1564.1511685630558;3128.3023371261115;91868.59294740229;3128.3023371261115;39197.68323207198
2021-04-20T03:00:00;5814.123570871854;1791.4281067884715;55953.504645979025;27993.928304197816;1791.4281067884715;3582.856213576943;69984.82076049455;3582.856213576943;52910.14596702061
2021-04-20T04:00:00;7390.506665670494;2836.9685751695206;81109.79008508264;35583.920982857926;2836.9685751695206;5673.937150339041;88959.80245714482;5673.937150339041;70186.03445033944
2021-04-20T05:00:00;7976.67459187048;4439.7202193316225;98865.11977275496;38406.210997894894;4439.7202193316225;8879.440438663245;96015.52749473724;8879.440438663245;74778.75525684288
2021-04-20T06:00:00;7830.837139077936;5450.8197461221425;136946.17096596205;37704.03066963451;5450.8197461221425;10901.639492244285;94260.07667408626;10901.639492244285;105541.85041375595
2021-04-20T07:00:00;8528.320608955322;4647.031394316153;110001.37397871524;41062.28441348859;4647.031394316153;9294.062788632305;102655.71103372148;9294.062788632305;115256.01805966413
2021-04-20T08:00:00;17388.474262670494;4272.340570828864;80359.56488701198;83722.28348693199;4272.340570828864;8544.681141657727;209305.70871732998;8544.681141657727;85553.50352496133
2021-04-20T09:00:00;15673.651267032554;4307.613419221096;70992.82918620568;75465.72832274932;4307.613419221096;8615.226838442191;188664.32080687332;8615.226838442191;72876.59296096135
2021-04-20T10:00:00;14293.479431184267;3972.521359494896;77922.12437007354;68820.45652051686;3972.521359494896;7945.042718989792;172051.14130129208;7945.042718989792;55400.47686754973
2021-04-20T11:00:00;10231.87114447403;3784.0112782288666;77545.42901745577;49264.56476968978;3784.0112782288666;7568.022556457733;123161.41192422443;7568.022556457733;64163.56336551713
2021-04-20T12:00:00;11374.264524682296;3765.2101845103657;82106.924842012;54764.977341062906;3765.2101845103657;7530.420369020731;136912.44335265725;7530.420369020731;58419.533800980134
2021-04-20T13:00:00;8648.795026479596;3393.1814627885296;69476.55125424008;41642.34642379066;3393.1814627885296;6786.362925577059;104105.86605947663;6786.362925577059;51533.581147632656
2021-04-20T14:00:00;6277.351228896482;3362.9000552065186;65399.378025906684;30224.283694686765;3362.9000552065186;6725.800110413037;75560.70923671691;6725.800110413037;61926.64553401171
