;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-08-06T23:00:00;1290.2272029657315;1249.7526495561694;13141.202993169485;6212.205051316484;1249.7526495561694;2499.505299112339;15530.51262829121;2499.505299112339;9855.902244877114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T00:00:00;555.7518746397884;737.5103681100438;5660.435760220064;2675.8423593767584;737.5103681100438;1475.0207362200877;6689.605898441894;1475.0207362200877;4245.326820165048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T01:00:00;920.1327869972793;741.0850525977867;9371.722830527844;4430.268974431344;741.0850525977867;1482.1701051955733;11075.67243607836;1482.1701051955733;7028.792122895882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T02:00:00;1301.0764680982918;683.0957264632925;13251.704767667783;6264.442253806589;683.0957264632925;1366.191452926585;15661.105634516472;1366.191452926585;9938.778575750839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T03:00:00;1698.4882735500069;753.8612397484229;17299.417600972294;8177.90650227781;753.8612397484229;1507.7224794968458;20444.76625569453;1507.7224794968458;12974.563200729217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T04:00:00;1718.7421736135143;1134.300346249493;17505.707323841347;8275.425280361364;1134.300346249493;2268.600692498986;20688.56320090341;2268.600692498986;13129.28049288101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T05:00:00;1319.3428359125764;1896.701110051968;13437.751106516982;6352.391432171666;1896.701110051968;3793.402220103936;15880.97858042916;3793.402220103936;10078.313329887738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T06:00:00;3488.4976749570774;1986.7963987152625;35530.99483752578;16796.470286830372;1986.7963987152625;3973.592797430525;41991.17571707592;3973.592797430525;26648.246128144336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T07:00:00;4236.566955807366;1890.6109068506287;43150.21899433426;20398.285342776202;1890.6109068506287;3781.2218137012574;50995.7133569405;3781.2218137012574;32362.6642457507;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T08:00:00;5083.823560333145;1593.0515221764836;51779.68441080054;24477.668994196618;1593.0515221764836;3186.103044352967;61194.17248549155;3186.103044352967;38834.76330810041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T09:00:00;4694.551172663961;1664.0156290442665;47814.873054910706;22603.394535048697;1664.0156290442665;3328.031258088533;56508.48633762173;3328.031258088533;35861.154791183035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T10:00:00;3730.1248098268634;1585.835955340114;37992.01195194027;17959.860195462672;1585.835955340114;3171.671910680228;44899.650488656676;3171.671910680228;28494.008963955195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T11:00:00;2993.507500507811;1541.3509928259814;30489.42824591288;14413.184261704271;1541.3509928259814;3082.701985651963;36032.960654260685;3082.701985651963;22867.071184434662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T12:00:00;2800.5275835475713;1542.4101586001275;28523.89205465118;13484.021698562377;1542.4101586001275;3084.820317200255;33710.05424640594;3084.820317200255;21392.91904098839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T13:00:00;1801.9345949024064;1416.634222920289;18353.037540672656;8675.981382863438;1416.634222920289;2833.268445840578;21689.95345715859;2833.268445840578;13764.778155504491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T14:00:00;1193.2765046761665;1453.0430464065576;12153.742177257249;5745.405392885246;1453.0430464065576;2906.086092813115;14363.513482213111;2906.086092813115;9115.306632942937;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T15:00:00;1380.4831136743787;1317.3374315941003;14060.476157794597;6646.770547321082;1317.3374315941003;2634.6748631882006;16616.926368302706;2634.6748631882006;10545.357118345948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T16:00:00;1557.4681282480174;1297.4780733288624;15863.101306229804;7498.920617490453;1297.4780733288624;2594.9561466577247;18747.30154372613;2594.9561466577247;11897.325979672352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T17:00:00;1068.1566173679585;1390.1550785666388;10879.372954673649;5142.976305845725;1390.1550785666388;2780.3101571332777;12857.440764614312;2780.3101571332777;8159.529716005237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T18:00:00;1271.074195574312;1462.9727255391767;12946.126066034654;6119.986867580019;1462.9727255391767;2925.9454510783535;15299.967168950046;2925.9454510783535;9709.59454952599;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T19:00:00;1632.6157761471984;1506.0013351138584;16628.494016314053;7860.742625893918;1506.0013351138584;3012.002670227717;19651.856564734797;3012.002670227717;12471.370512235542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T20:00:00;1537.7820945414312;1637.4702868297315;15662.595407366425;7404.136010755036;1637.4702868297315;3274.940573659463;18510.340026887592;3274.940573659463;11746.946555524819;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T21:00:00;1524.1533019753326;1564.5202441354252;15523.783631230233;7338.515898399749;1564.5202441354252;3129.0404882708503;18346.289745999373;3129.0404882708503;11642.83772342268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T22:00:00;730.2761350001034;1479.7869822037446;7437.997671297347;3516.144353704201;1479.7869822037446;2959.5739644074893;8790.3608842605;2959.5739644074893;5578.498253473012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-07T23:00:00;940.0081094895058;1134.3665441103767;9574.156670726446;4525.964971616138;1134.3665441103767;2268.7330882207534;11314.912429040343;2268.7330882207534;7180.617503044833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T00:00:00;1567.946792234876;544.4097754257214;15969.828439429291;7549.373444093847;544.4097754257214;1088.8195508514427;18873.433610234613;1088.8195508514427;11977.371329571972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T01:00:00;1290.2156705417435;451.6293898932947;13141.085533295533;6212.149524830616;451.6293898932947;903.2587797865893;15530.373812076541;903.2587797865893;9855.814149971653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T02:00:00;1482.0600740606212;422.9525599734396;15095.056309876694;7135.844801032619;422.9525599734396;845.9051199468792;17839.612002581547;845.9051199468792;11321.29223240752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T03:00:00;1419.5776638942139;454.8202497131928;14458.661391515137;6835.003566898066;454.8202497131928;909.6404994263856;17087.508917245163;909.6404994263856;10843.996043636356;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T04:00:00;1278.3007501013842;771.1653649346465;13019.729862143726;6154.781389377034;771.1653649346465;1542.330729869293;15386.953473442583;1542.330729869293;9764.797396607797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T05:00:00;1896.1035593631002;1003.239054143402;19312.165882401943;9129.387508044558;1003.239054143402;2006.478108286804;22823.468770111387;2006.478108286804;14484.12441180146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T06:00:00;1181.1374107960753;760.8155247495918;12030.10325810817;5686.957903832954;760.8155247495918;1521.6310494991835;14217.39475958238;1521.6310494991835;9022.57744358113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T07:00:00;1880.7134537943027;1132.7552360638886;19155.41480716419;9055.286999750346;1132.7552360638886;2265.510472127777;22638.217499375864;2265.510472127777;14366.561105373146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T08:00:00;1657.73422841044;1014.529788890734;16884.330104180404;7981.683321976193;1014.529788890734;2029.059577781468;19954.208304940476;2029.059577781468;12663.247578135306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T09:00:00;1141.137320746298;1030.8931725825203;11622.694933527107;5494.36487766736;1030.8931725825203;2061.7863451650405;13735.9121941684;2061.7863451650405;8717.021200145333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T10:00:00;1479.3650325324447;977.7121755842156;15067.60681283045;7122.8686751562145;977.7121755842156;1955.4243511684313;17807.17168789053;1955.4243511684313;11300.70510962284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
