;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8
2021-01-06T21:00:00;4529.80861135979;4896.962544916054;2834.117076270319;3616.1794086436953;2139.7650840846914;3755.5530296869533;4453.808397222849;4453.808397222849
2021-01-06T22:00:00;4364.487129193377;4718.241284152696;2730.682146479433;3484.2020579632695;2061.671467877222;3618.4890505012995;4291.26064549939;4291.26064549939
2021-01-06T23:00:00;3266.0870426487113;3530.8127315085867;2043.4578708121767;2607.3412198575897;1542.8155171755116;2707.8325246413847;3211.2892937970933;3211.2892937970933
2021-01-07T00:00:00;2925.180699972189;3162.274955492016;1830.166632686696;2335.19318835548;1381.780128798858;2425.195451439746;2876.102608895754;2876.102608895754
2021-01-07T01:00:00;2466.6454060342276;2666.5740655459795;1543.2797422862427;1969.1411030827014;1165.179849191365;2045.0351046982598;2425.2605275233823;2425.2605275233823
2021-01-07T02:00:00;2576.233726724506;2785.044832817413;1611.844698926844;2056.626262547102;1216.946553340515;2135.8920889767046;2533.010197499262;2533.010197499262
2021-01-07T03:00:00;2891.073101083318;3125.402838238107;1808.8268948003947;2307.964842223834;1365.6685763104485;2396.9176791689224;2842.56726041339;2842.56726041339
2021-01-07T04:00:00;3532.255596171743;3818.555006969867;2209.988712935183;2819.8255266039473;1668.5466961665247;2928.5063330411494;3472.9921250788934;3472.9921250788934
2021-01-07T05:00:00;4748.0199494650005;5132.8605355943955;2970.6430385392023;3790.3791188940954;2242.84250794273;3936.4666890141752;4668.358629562682;4668.358629562682
2021-01-07T06:00:00;4882.835784126337;5278.603578941205;3054.991824977364;3898.003587627465;2306.526040855497;4048.239185327253;4800.9125513746285;4800.9125513746285
2021-01-07T07:00:00;4954.683743915913;5356.275021203877;3099.944172240815;3955.3603404254895;2340.4651691742765;4107.806563601888;4871.555060603751;4871.555060603751
